=== OCR LOG ===
Timestamp: 2025-09-29 11:58:58
Total pages processed: 5
Total lines: 167

--- RAW OCR OUTPUT ---
Page 2: | F/08398/07/25/M1
Page 2: | 278/7/2025
Page 2: F 2186K1/4569/25
Page 3: F/08876/07/25/M1
Page 3: | FV/2025/7/2513/AW
Page 3: | 48027/K/07/2025
Page 3: | F/09356/07/25/M1
Page 3: | 3703/MAG/2025
Page 3: | 42472/NM2/07/2025
Page 3: | F/10503/07/25/M1
Page 3: | F/M05/00001494/07/25
Page 3: | F/M09/0001776/07/25
Page 3: | FA/1053/07/2025
Page 3: | 3796/MAG/2025
Page 3: | 3797/MAG/2025
Page 3: | F 5901K2/4007/25
Page 3: | F/11003/07/25/M1
Page 3: | 6464/CZE/07/2025
Page 3: | F/11678/07/25/M1
Page 3: | F/M04/0001603/07/25
Page 3: | 00068/07/25
Page 3: | F/12108/07/25/M1
Page 3: | F/980/2025
Page 3: | FS 115/07/2025
Page 3: | FS-34930/SPPL/07/2025
Page 3: | 00698625070350100
Page 3: | 492/S/7/2025
Page 3: | 791/S/7/2025
Page 3: | 03584/07/2025/WOL
Page 3: | 00053/RBWT/2025
Page 3: | 13453/08/2025/UL
Page 3: | 19113/25
Page 3: | 19578/08/2025/UP
Page 3: | F/00295/08/25/M1
Page 3: | PL5887934/F
Page 3: | 32/08/2025
Page 3: | F/M04/0000080/08/25
Page 3: | 108/S/8/2025
Page 3: 234/8/2025/B
Page 4: 40/2025
Page 4: F 3576k2/7792/25
Page 4: F/01545/08/25/M1
Page 4: | 2010/001202/060825/01
Page 4: | 6/08/2025
Page 4: | F/02034/08/25/M1
Page 4: | FS 8134/08/2025
Page 4: | F/02647/08/25/M1
Page 4: | F/M04/0000180/08/25
Page 4: | F/03557/08/25/M1
Page 4: | F/M05/0000291/08/25
Page 4: | F/M09/0001 192/08/25
Page 4: | 309/S/8/2025
Page 4: | 96705889
Page 4: | F/04139/08/25/M1
Page 4: | F/M04/0000352/08/25
Page 4: | FA/410/08/2025
Page 4: | M018498/2025
Page 4: | 201/08/2025
Page 4: | 397760
Page 4: | 4016/ALL/2025
Page 4: | F/041652/25
Page 4: | F/04674/08/25/M1
Page 4: | FS-384/08/2025
Page 4: | 8232/2025
Page 4: | PL5921497/F
Page 4: | F 11258K2/1353/25
Page 4: | F 9112K1/1353/25
Page 4: F/05633/08/25/M1
Page 4: F/M09/0001419/08/25
Page 4: | F25-08-1257
Page 4: | 00192/STU/2025
Page 4: | F/06255/08/25/M1
Page 4: | FA/687/08/2025
Page 4: 222812
Page 4: 370/A-O/08/2025
Page 5: 549/S/8/2025
Page 5: | FV/UP/1841/25
Page 5: | L014634/2025
Page 5: | 1952
Page 5: | F 13043k3/4569/25
Page 5: | 7325/08/2025
Page 5: F/08392/08/25/M1
Page 5: F/M02/000107 1/08/25
Page 5: | £/m09/0001544/08/25
Page 5: | 668/S/8/2025
Page 5: | F/08929/08/25/M1
Page 5: | F/09494/08/25/M1
Page 5: | FV/2025/8/34
Page 5: | L015026/2025
Page 5: | 2010/0081/280825/85
Page 5: | 4339/MAG/2025
Page 5: | F/10140/08/25/M1
Page 5: | 6008/08/25/PTV
Page 5: | F/10451/08/25/M1
Page 5: | F/M04/0001488/08/25
Page 5: 94/08
Page 5: F/1828/08/2025
Page 5: py dla sprzedaży wyłącznie
